
These predictions were generated by MoorDyn (v2.0.02023-09-18) on 15-Feb-2024 at 11:56:22.

 
 
 
      Time        ANCHTEN1        ANCHTEN2        ANCHTEN3        FAIRTEN1        FAIRTEN2        FAIRTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    0.6250   1.5608555E+06   1.2319070E+06   1.2628144E+06   2.6768215E+06   2.3207165E+06   2.3184660E+06
    0.6375   1.5632388E+06   1.2291745E+06   1.2601318E+06   2.6819145E+06   2.3181278E+06   2.3137868E+06
    0.6500   1.5645069E+06   1.2274561E+06   1.2579301E+06   2.6861130E+06   2.3161330E+06   2.3095822E+06
    0.6625   1.5644984E+06   1.2268349E+06   1.2563119E+06   2.6892152E+06   2.3148388E+06   2.3060085E+06
    0.6750   1.5631170E+06   1.2273450E+06   1.2553489E+06   2.6910462E+06   2.3143355E+06   2.3032052E+06
    0.6875   1.5603346E+06   1.2289706E+06   1.2550811E+06   2.6914658E+06   2.3146878E+06   2.3012892E+06
    0.7000   1.5561914E+06   1.2316468E+06   1.2555162E+06   2.6903778E+06   2.3159320E+06   2.3003498E+06
    0.7125   1.5507932E+06   1.2352616E+06   1.2566298E+06   2.6877372E+06   2.3180688E+06   2.3004442E+06
    0.7250   1.5443070E+06   1.2396625E+06   1.2583671E+06   2.6835595E+06   2.3210598E+06   2.3015915E+06
    0.7375   1.5369525E+06   1.2446616E+06   1.2606458E+06   2.6779258E+06   2.3248230E+06   2.3037698E+06
    0.7500   1.5289932E+06   1.2500449E+06   1.2633579E+06   2.6709875E+06   2.3292335E+06   2.3069118E+06
    0.7625   1.5207260E+06   1.2555812E+06   1.2663744E+06   2.6629642E+06   2.3341250E+06   2.3109052E+06
    0.7750   1.5124671E+06   1.2610335E+06   1.2695486E+06   2.6541420E+06   2.3392972E+06   2.3155935E+06
    0.7875   1.5045411E+06   1.2661688E+06   1.2727215E+06   2.6448588E+06   2.3445240E+06   2.3207805E+06
    0.8000   1.4972664E+06   1.2707688E+06   1.2757266E+06   2.6354955E+06   2.3495628E+06   2.3262365E+06
    0.8125   1.4909429E+06   1.2746392E+06   1.2783961E+06   2.6264548E+06   2.3541725E+06   2.3317082E+06
    0.8250   1.4858396E+06   1.2776186E+06   1.2805669E+06   2.6181402E+06   2.3581232E+06   2.3369312E+06
    0.8375   1.4821845E+06   1.2795839E+06   1.2820878E+06   2.6109368E+06   2.3612118E+06   2.3416425E+06
    0.8500   1.4801546E+06   1.2804551E+06   1.2828250E+06   2.6051858E+06   2.3632730E+06   2.3455958E+06
    0.8625   1.4798694E+06   1.2801981E+06   1.2826700E+06   2.6011695E+06   2.3641882E+06   2.3485730E+06
    0.8750   1.4813854E+06   1.2788241E+06   1.2815440E+06   2.5990952E+06   2.3638918E+06   2.3503985E+06
    0.8875   1.4846948E+06   1.2763888E+06   1.2794035E+06   2.5990838E+06   2.3623720E+06   2.3509458E+06
    0.9000   1.4897242E+06   1.2729876E+06   1.2762432E+06   2.6011628E+06   2.3596738E+06   2.3501495E+06
    0.9125   1.4963386E+06   1.2687526E+06   1.2720989E+06   2.6052678E+06   2.3558922E+06   2.3480042E+06
    0.9250   1.5043446E+06   1.2638449E+06   1.2670462E+06   2.6112458E+06   2.3511685E+06   2.3445685E+06
    0.9375   1.5134992E+06   1.2584486E+06   1.2612001E+06   2.6188632E+06   2.3456815E+06   2.3399588E+06
    0.9500   1.5235174E+06   1.2527642E+06   1.2547101E+06   2.6278202E+06   2.3396395E+06   2.3343442E+06
    0.9625   1.5340829E+06   1.2470001E+06   1.2477554E+06   2.6377635E+06   2.3332695E+06   2.3279375E+06
    0.9750   1.5448599E+06   1.2413659E+06   1.2405381E+06   2.6483062E+06   2.3268088E+06   2.3209832E+06
    0.9875   1.5555050E+06   1.2360650E+06   1.2332748E+06   2.6590450E+06   2.3204942E+06   2.3137460E+06
    1.0000   1.5656800E+06   1.2312879E+06   1.2261881E+06   2.6695780E+06   2.3145535E+06   2.3064962E+06
    1.0125   1.5750640E+06   1.2272052E+06   1.2194978E+06   2.6795242E+06   2.3091965E+06   2.2994992E+06
    1.0250   1.5833650E+06   1.2239625E+06   1.2134111E+06   2.6885380E+06   2.3046068E+06   2.2930018E+06
    1.0375   1.5903318E+06   1.2216741E+06   1.2081154E+06   2.6963252E+06   2.3009352E+06   2.2872228E+06
    1.0500   1.5957631E+06   1.2204186E+06   1.2037694E+06   2.7026535E+06   2.2982940E+06   2.2823448E+06
    1.0625   1.5995162E+06   1.2202359E+06   1.2004970E+06   2.7073612E+06   2.2967528E+06   2.2785070E+06
    1.0750   1.6015138E+06   1.2211240E+06   1.1983815E+06   2.7103638E+06   2.2963350E+06   2.2758010E+06
    1.0875   1.6017479E+06   1.2230381E+06   1.1974616E+06   2.7116560E+06   2.2970185E+06   2.2742700E+06
    1.1000   1.6002825E+06   1.2258916E+06   1.1977290E+06   2.7113092E+06   2.2987348E+06   2.2739058E+06
    1.1125   1.5972526E+06   1.2295572E+06   1.1991278E+06   2.7094698E+06   2.3013732E+06   2.2746535E+06
    1.1250   1.5928611E+06   1.2338722E+06   1.2015545E+06   2.7063492E+06   2.3047855E+06   2.2764122E+06
    1.1375   1.5873726E+06   1.2386434E+06   1.2048622E+06   2.7022162E+06   2.3087928E+06   2.2790412E+06
    1.1500   1.5811040E+06   1.2436550E+06   1.2088648E+06   2.6973838E+06   2.3131935E+06   2.2823648E+06
    1.1625   1.5744130E+06   1.2486772E+06   1.2133426E+06   2.6921955E+06   2.3177720E+06   2.2861795E+06
    1.1750   1.5676839E+06   1.2534762E+06   1.2180521E+06   2.6870112E+06   2.3223090E+06   2.2902630E+06
    1.1875   1.5613118E+06   1.2578244E+06   1.2227349E+06   2.6821910E+06   2.3265908E+06   2.2943802E+06
    1.2000   1.5556861E+06   1.2615102E+06   1.2271280E+06   2.6780808E+06   2.3304182E+06   2.2982965E+06
    1.2125   1.5511734E+06   1.2643482E+06   1.2309762E+06   2.6749978E+06   2.3336152E+06   2.3017828E+06
    1.2250   1.5481009E+06   1.2661868E+06   1.2340434E+06   2.6732165E+06   2.3360348E+06   2.3046290E+06
    1.2375   1.5467414E+06   1.2669151E+06   1.2361229E+06   2.6729585E+06   2.3375650E+06   2.3066515E+06
    1.2500   1.5473010E+06   1.2664686E+06   1.2370488E+06   2.6743828E+06   2.3381320E+06   2.3077018E+06
    1.2625   1.5499090E+06   1.2648304E+06   1.2367032E+06   2.6775790E+06   2.3377015E+06   2.3076742E+06
    1.2750   1.5546115E+06   1.2620325E+06   1.2350240E+06   2.6825640E+06   2.3362792E+06   2.3065122E+06
    1.2875   1.5613685E+06   1.2581541E+06   1.2320072E+06   2.6892808E+06   2.3339090E+06   2.3042105E+06
    1.3000   1.5700560E+06   1.2533172E+06   1.2277086E+06   2.6976002E+06   2.3306710E+06   2.3008172E+06
