
These predictions were generated by MoorDyn (v2.0.02023-09-18) on 20-Feb-2024 at 12:40:50.

 
 
 
      Time        ANCHTEN1        ANCHTEN2        ANCHTEN3        FAIRTEN1        FAIRTEN2        FAIRTEN3
       (s)             (N)             (N)             (N)             (N)             (N)             (N)
    0.6250   1.5617099E+06   1.2306782E+06   1.2617899E+06   2.6867018E+06   2.3146648E+06   2.3128240E+06
    0.6375   1.5640936E+06   1.2278662E+06   1.2590581E+06   2.6934328E+06   2.3112920E+06   2.3072548E+06
    0.6500   1.5653334E+06   1.2260884E+06   1.2568214E+06   2.6993582E+06   2.3084815E+06   2.3021028E+06
    0.6625   1.5652651E+06   1.2254309E+06   1.2551832E+06   2.7042635E+06   2.3063472E+06   2.2975345E+06
    0.6750   1.5637920E+06   1.2259300E+06   1.2542161E+06   2.7079585E+06   2.3049865E+06   2.2937000E+06
    0.6875   1.5608868E+06   1.2275704E+06   1.2539598E+06   2.7102892E+06   2.3044725E+06   2.2907275E+06
    0.7000   1.5565922E+06   1.2302862E+06   1.2544209E+06   2.7111432E+06   2.3048502E+06   2.2887182E+06
    0.7125   1.5510191E+06   1.2339636E+06   1.2555734E+06   2.7104605E+06   2.3061288E+06   2.2877408E+06
    0.7250   1.5443406E+06   1.2384459E+06   1.2573601E+06   2.7082415E+06   2.3082772E+06   2.2878262E+06
    0.7375   1.5367849E+06   1.2435399E+06   1.2596955E+06   2.7045530E+06   2.3112212E+06   2.2889632E+06
    0.7500   1.5286259E+06   1.2490248E+06   1.2624681E+06   2.6995332E+06   2.3148420E+06   2.2910965E+06
    0.7625   1.5201715E+06   1.2546620E+06   1.2655445E+06   2.6933910E+06   2.3189782E+06   2.2941238E+06
    0.7750   1.5117512E+06   1.2602056E+06   1.2687732E+06   2.6864022E+06   2.3234325E+06   2.2978978E+06
    0.7875   1.5037034E+06   1.2654138E+06   1.2719898E+06   2.6788995E+06   2.3279792E+06   2.3022308E+06
    0.8000   1.4963610E+06   1.2700586E+06   1.2750216E+06   2.6712578E+06   2.3323768E+06   2.3068992E+06
    0.8125   1.4900392E+06   1.2739370E+06   1.2776948E+06   2.6638782E+06   2.3363802E+06   2.3116555E+06
    0.8250   1.4850224E+06   1.2768781E+06   1.2798389E+06   2.6571658E+06   2.3397565E+06   2.3162372E+06
    0.8375   1.4815534E+06   1.2787509E+06   1.2812951E+06   2.6515075E+06   2.3422968E+06   2.3203810E+06
    0.8500   1.4798241E+06   1.2794678E+06   1.2819224E+06   2.6472520E+06   2.3438300E+06   2.3238368E+06
    0.8625   1.4799681E+06   1.2789882E+06   1.2816035E+06   2.6446895E+06   2.3442312E+06   2.3263805E+06
    0.8750   1.4820550E+06   1.2773189E+06   1.2802516E+06   2.6440360E+06   2.3434298E+06   2.3278265E+06
    0.8875   1.4860879E+06   1.2745111E+06   1.2778152E+06   2.6454218E+06   2.3414108E+06   2.3280382E+06
    0.9000   1.4920034E+06   1.2706590E+06   1.2742820E+06   2.6488850E+06   2.3382158E+06   2.3269358E+06
    0.9125   1.4996731E+06   1.2658936E+06   1.2696809E+06   2.6543695E+06   2.3339395E+06   2.3244998E+06
    0.9250   1.5089091E+06   1.2603772E+06   1.2640826E+06   2.6617302E+06   2.3287235E+06   2.3207740E+06
    0.9375   1.5194700E+06   1.2542970E+06   1.2575982E+06   2.6707395E+06   2.3227495E+06   2.3158610E+06
    0.9500   1.5310699E+06   1.2478570E+06   1.2503759E+06   2.6811000E+06   2.3162278E+06   2.3099178E+06
    0.9625   1.5433884E+06   1.2412712E+06   1.2425952E+06   2.6924600E+06   2.3093905E+06   2.3031478E+06
    0.9750   1.5560826E+06   1.2347561E+06   1.2344609E+06   2.7044302E+06   2.3024782E+06   2.2957888E+06
    0.9875   1.5687996E+06   1.2285226E+06   1.2261946E+06   2.7166022E+06   2.2957325E+06   2.2881035E+06
    1.0000   1.5811881E+06   1.2227700E+06   1.2180266E+06   2.7285668E+06   2.2893842E+06   2.2803638E+06
    1.0125   1.5929120E+06   1.2176781E+06   1.2101860E+06   2.7399328E+06   2.2836468E+06   2.2728410E+06
    1.0250   1.6036622E+06   1.2134024E+06   1.2028918E+06   2.7503425E+06   2.2787058E+06   2.2657908E+06
    1.0375   1.6131682E+06   1.2100672E+06   1.1963442E+06   2.7594882E+06   2.2747140E+06   2.2594448E+06
    1.0500   1.6212081E+06   1.2077621E+06   1.1907168E+06   2.7671235E+06   2.2717848E+06   2.2539998E+06
    1.0625   1.6276179E+06   1.2065371E+06   1.1861482E+06   2.7730725E+06   2.2699878E+06   2.2496110E+06
    1.0750   1.6322985E+06   1.2064004E+06   1.1827380E+06   2.7772372E+06   2.2693470E+06   2.2463865E+06
    1.0875   1.6352205E+06   1.2073166E+06   1.1805406E+06   2.7795990E+06   2.2698395E+06   2.2443848E+06
    1.1000   1.6364271E+06   1.2092074E+06   1.1795632E+06   2.7802202E+06   2.2713958E+06   2.2436125E+06
    1.1125   1.6360341E+06   1.2119530E+06   1.1797645E+06   2.7792388E+06   2.2739042E+06   2.2440260E+06
    1.1250   1.6342272E+06   1.2153965E+06   1.1810548E+06   2.7768618E+06   2.2772148E+06   2.2455340E+06
    1.1375   1.6312559E+06   1.2193485E+06   1.1832990E+06   2.7733575E+06   2.2811462E+06   2.2480020E+06
    1.1500   1.6274251E+06   1.2235952E+06   1.1863206E+06   2.7690418E+06   2.2854940E+06   2.2512562E+06
    1.1625   1.6230836E+06   1.2279072E+06   1.1899084E+06   2.7642650E+06   2.2900385E+06   2.2550925E+06
    1.1750   1.6186106E+06   1.2320485E+06   1.1938231E+06   2.7593980E+06   2.2945562E+06   2.2592835E+06
    1.1875   1.6143995E+06   1.2357879E+06   1.1978085E+06   2.7548158E+06   2.2988280E+06   2.2635860E+06
    1.2000   1.6108416E+06   1.2389086E+06   1.2016005E+06   2.7508820E+06   2.3026492E+06   2.2677528E+06
    1.2125   1.6083086E+06   1.2412190E+06   1.2049395E+06   2.7479342E+06   2.3058370E+06   2.2715415E+06
    1.2250   1.6071358E+06   1.2425605E+06   1.2075811E+06   2.7462698E+06   2.3082385E+06   2.2747242E+06
    1.2375   1.6076066E+06   1.2428155E+06   1.2093085E+06   2.7461348E+06   2.3097355E+06   2.2770985E+06
    1.2500   1.6099395E+06   1.2419124E+06   1.2099420E+06   2.7477118E+06   2.3102480E+06   2.2784955E+06
    1.2625   1.6142770E+06   1.2398285E+06   1.2093485E+06   2.7511150E+06   2.3097370E+06   2.2787890E+06
    1.2750   1.6206786E+06   1.2365915E+06   1.2074485E+06   2.7563840E+06   2.3082032E+06   2.2779008E+06
    1.2875   1.6291170E+06   1.2322770E+06   1.2042205E+06   2.7634820E+06   2.3056875E+06   2.2758065E+06
    1.3000   1.6394791E+06   1.2270058E+06   1.1997034E+06   2.7722975E+06   2.3022668E+06   2.2725368E+06
    1.3125   1.6515704E+06   1.2209375E+06   1.1939951E+06   2.7826492E+06   2.2980518E+06   2.2681770E+06
    1.3250   1.6651226E+06   1.2142645E+06   1.1872494E+06   2.7942910E+06   2.2931805E+06   2.2628650E+06
    1.3375   1.6798056E+06   1.2072028E+06   1.1796685E+06   2.8069222E+06   2.2878148E+06   2.2567852E+06
    1.3500   1.6952415E+06   1.1999836E+06   1.1714951E+06   2.8201998E+06   2.2821338E+06   2.2501618E+06
    1.3625   1.7110202E+06   1.1928435E+06   1.1630012E+06   2.8337498E+06   2.2763278E+06   2.2432468E+06
    1.3750   1.7267179E+06   1.1860156E+06   1.1544761E+06   2.8471822E+06   2.2705922E+06   2.2363125E+06
    1.3875   1.7419132E+06   1.1797198E+06   1.1462135E+06   2.8601060E+06   2.2651212E+06   2.2296370E+06
    1.4000   1.7562064E+06   1.1741549E+06   1.1384990E+06   2.8721432E+06   2.2601002E+06   2.2234935E+06
    1.4125   1.7692345E+06   1.1694911E+06   1.1315979E+06   2.8829445E+06   2.2557012E+06   2.2181372E+06
    1.4250   1.7806865E+06   1.1658638E+06   1.1257434E+06   2.8922012E+06   2.2520742E+06   2.2137962E+06
    1.4375   1.7903156E+06   1.1633681E+06   1.1211279E+06   2.8996590E+06   2.2493438E+06   2.2106605E+06
    1.4500   1.7979482E+06   1.1620566E+06   1.1178948E+06   2.9051262E+06   2.2476020E+06   2.2088742E+06
    1.4625   1.8034908E+06   1.1619369E+06   1.1161335E+06   2.9084835E+06   2.2469060E+06   2.2085310E+06
    1.4750   1.8069321E+06   1.1629719E+06   1.1158759E+06   2.9096868E+06   2.2472738E+06   2.2096685E+06
    1.4875   1.8083435E+06   1.1650816E+06   1.1170960E+06   2.9087710E+06   2.2486828E+06   2.2122680E+06
    1.5000   1.8078738E+06   1.1681475E+06   1.1197119E+06   2.9058482E+06   2.2510712E+06   2.2162552E+06
    1.5125   1.8057431E+06   1.1720162E+06   1.1235889E+06   2.9011045E+06   2.2543388E+06   2.2215028E+06
    1.5250   1.8022331E+06   1.1765072E+06   1.1285461E+06   2.8947922E+06   2.2583505E+06   2.2278352E+06
    1.5375   1.7976738E+06   1.1814199E+06   1.1343639E+06   2.8872202E+06   2.2629425E+06   2.2350360E+06
    1.5500   1.7924298E+06   1.1865416E+06   1.1407932E+06   2.8787422E+06   2.2679280E+06   2.2428565E+06
    1.5625   1.7868849E+06   1.1916568E+06   1.1475659E+06   2.8697422E+06   2.2731058E+06   2.2510238E+06
    1.5750   1.7814261E+06   1.1965550E+06   1.1544054E+06   2.8606192E+06   2.2782672E+06   2.2592542E+06
    1.5875   1.7764270E+06   1.2010396E+06   1.1610386E+06   2.8517712E+06   2.2832078E+06   2.2672620E+06
    1.6000   1.7722328E+06   1.2049354E+06   1.1672072E+06   2.8435782E+06   2.2877322E+06   2.2747732E+06
    1.6125   1.7691459E+06   1.2080941E+06   1.1726785E+06   2.8363862E+06   2.2916652E+06   2.2815352E+06
    1.6250   1.7674136E+06   1.2104005E+06   1.1772545E+06   2.8304945E+06   2.2948578E+06   2.2873278E+06
    1.6375   1.7672186E+06   1.2117756E+06   1.1807814E+06   2.8261420E+06   2.2971920E+06   2.2919730E+06
    1.6500   1.7686712E+06   1.2121794E+06   1.1831554E+06   2.8234968E+06   2.2985878E+06   2.2953420E+06
    1.6625   1.7718049E+06   1.2116109E+06   1.1843281E+06   2.8226518E+06   2.2990035E+06   2.2973618E+06
    1.6750   1.7765752E+06   1.2101084E+06   1.1843078E+06   2.8236182E+06   2.2984390E+06   2.2980168E+06
    1.6875   1.7828619E+06   1.2077466E+06   1.1831599E+06   2.8263280E+06   2.2969338E+06   2.2973508E+06
    1.7000   1.7904728E+06   1.2046340E+06   1.1810041E+06   2.8306358E+06   2.2945665E+06   2.2954652E+06
    1.7125   1.7991522E+06   1.2009081E+06   1.1780094E+06   2.8363245E+06   2.2914510E+06   2.2925128E+06
    1.7250   1.8085912E+06   1.1967304E+06   1.1743865E+06   2.8431162E+06   2.2877315E+06   2.2886922E+06
    1.7375   1.8184395E+06   1.1922806E+06   1.1703788E+06   2.8506842E+06   2.2835782E+06   2.2842385E+06
    1.7500   1.8283189E+06   1.1877499E+06   1.1662518E+06   2.8586645E+06   2.2791800E+06   2.2794128E+06
    1.7625   1.8378394E+06   1.1833344E+06   1.1622814E+06   2.8666740E+06   2.2747370E+06   2.2744888E+06
    1.7750   1.8466135E+06   1.1792275E+06   1.1587418E+06   2.8743248E+06   2.2704538E+06   2.2697440E+06
