
These predictions were generated by MoorDyn (v2.0.02022-12-08) on 20-Sep-2023 at 07:59:09.

 
 
 
      Time        FAIRTEN1        FAIRTEN2        FAIRTEN3
       (s)             (N)             (N)             (N)
    0.9300   3.3318882E+06   3.0836442E+06   3.1757095E+06
    0.9400   3.3318878E+06   3.0836440E+06   3.1757102E+06
    0.9500   3.3318872E+06   3.0836438E+06   3.1757110E+06
    0.9600   3.3318868E+06   3.0836432E+06   3.1757118E+06
    0.9700   3.3318865E+06   3.0836430E+06   3.1757125E+06
    0.9800   3.3318860E+06   3.0836428E+06   3.1757130E+06
    0.9900   3.3318858E+06   3.0836425E+06   3.1757135E+06
    1.0000   3.3318855E+06   3.0836425E+06   3.1757140E+06
    1.0100   3.3318855E+06   3.0836422E+06   3.1757140E+06
    1.0200   3.3318852E+06   3.0836422E+06   3.1757140E+06
    1.0300   3.3318855E+06   3.0836425E+06   3.1757140E+06
    1.0400   3.3318855E+06   3.0836425E+06   3.1757135E+06
    1.0500   3.3318858E+06   3.0836428E+06   3.1757132E+06
    1.0600   3.3318860E+06   3.0836430E+06   3.1757128E+06
    1.0700   3.3318862E+06   3.0836432E+06   3.1757122E+06
    1.0800   3.3318865E+06   3.0836435E+06   3.1757115E+06
    1.0900   3.3318868E+06   3.0836438E+06   3.1757110E+06
    1.1000   3.3318872E+06   3.0836440E+06   3.1757105E+06
    1.1100   3.3318872E+06   3.0836442E+06   3.1757102E+06
    1.1200   3.3318875E+06   3.0836445E+06   3.1757100E+06
    1.1300   3.3318875E+06   3.0836445E+06   3.1757098E+06
    1.1400   3.3318875E+06   3.0836445E+06   3.1757098E+06
    1.1500   3.3318875E+06   3.0836445E+06   3.1757098E+06
    1.1600   3.3318875E+06   3.0836445E+06   3.1757100E+06
    1.1700   3.3318872E+06   3.0836442E+06   3.1757105E+06
    1.1800   3.3318870E+06   3.0836442E+06   3.1757110E+06
    1.1900   3.3318868E+06   3.0836440E+06   3.1757112E+06
    1.2000   3.3318862E+06   3.0836438E+06   3.1757120E+06
    1.2100   3.3318860E+06   3.0836435E+06   3.1757125E+06
    1.2200   3.3318858E+06   3.0836432E+06   3.1757130E+06
    1.2300   3.3318855E+06   3.0836432E+06   3.1757132E+06
    1.2400   3.3318852E+06   3.0836430E+06   3.1757138E+06
    1.2500   3.3318850E+06   3.0836430E+06   3.1757140E+06
    1.2600   3.3318850E+06   3.0836428E+06   3.1757140E+06
    1.2700   3.3318850E+06   3.0836428E+06   3.1757140E+06
    1.2800   3.3318850E+06   3.0836430E+06   3.1757140E+06
    1.2900   3.3318850E+06   3.0836430E+06   3.1757138E+06
    1.3000   3.3318852E+06   3.0836432E+06   3.1757135E+06
    1.3100   3.3318855E+06   3.0836435E+06   3.1757130E+06
    1.3200   3.3318858E+06   3.0836438E+06   3.1757125E+06
    1.3300   3.3318860E+06   3.0836440E+06   3.1757120E+06
    1.3400   3.3318862E+06   3.0836442E+06   3.1757118E+06
    1.3500   3.3318865E+06   3.0836442E+06   3.1757112E+06
    1.3600   3.3318868E+06   3.0836445E+06   3.1757108E+06
    1.3700   3.3318868E+06   3.0836448E+06   3.1757105E+06
    1.3800   3.3318870E+06   3.0836450E+06   3.1757102E+06
    1.3900   3.3318870E+06   3.0836450E+06   3.1757100E+06
    1.4000   3.3318870E+06   3.0836450E+06   3.1757100E+06
    1.4100   3.3318870E+06   3.0836450E+06   3.1757102E+06
    1.4200   3.3318870E+06   3.0836450E+06   3.1757102E+06
    1.4300   3.3318868E+06   3.0836450E+06   3.1757105E+06
    1.4400   3.3318865E+06   3.0836448E+06   3.1757108E+06
    1.4500   3.3318865E+06   3.0836448E+06   3.1757110E+06
    1.4600   3.3318862E+06   3.0836445E+06   3.1757115E+06
    1.4700   3.3318860E+06   3.0836445E+06   3.1757118E+06
    1.4800   3.3318858E+06   3.0836442E+06   3.1757120E+06
    1.4900   3.3318858E+06   3.0836442E+06   3.1757122E+06
    1.5000   3.3318855E+06   3.0836442E+06   3.1757125E+06
    1.5100   3.3318855E+06   3.0836442E+06   3.1757125E+06
    1.5200   3.3318855E+06   3.0836442E+06   3.1757125E+06
    1.5300   3.3318855E+06   3.0836442E+06   3.1757125E+06
    1.5400   3.3318855E+06   3.0836445E+06   3.1757122E+06
    1.5500   3.3318858E+06   3.0836445E+06   3.1757120E+06
    1.5600   3.3318858E+06   3.0836448E+06   3.1757118E+06
    1.5700   3.3318860E+06   3.0836450E+06   3.1757115E+06
    1.5800   3.3318862E+06   3.0836450E+06   3.1757110E+06
    1.5900   3.3318865E+06   3.0836452E+06   3.1757105E+06
    1.6000   3.3318868E+06   3.0836455E+06   3.1757102E+06
    1.6100   3.3318870E+06   3.0836458E+06   3.1757098E+06
    1.6200   3.3318870E+06   3.0836460E+06   3.1757095E+06
    1.6300   3.3318872E+06   3.0836460E+06   3.1757092E+06
    1.6400   3.3318872E+06   3.0836462E+06   3.1757090E+06
    1.6500   3.3318872E+06   3.0836462E+06   3.1757090E+06
    1.6600   3.3318875E+06   3.0836462E+06   3.1757090E+06
    1.6700   3.3318872E+06   3.0836462E+06   3.1757090E+06
    1.6800   3.3318872E+06   3.0836462E+06   3.1757090E+06
    1.6900   3.3318872E+06   3.0836462E+06   3.1757092E+06
    1.7000   3.3318870E+06   3.0836462E+06   3.1757095E+06
    1.7100   3.3318870E+06   3.0836462E+06   3.1757095E+06
    1.7200   3.3318868E+06   3.0836460E+06   3.1757098E+06
    1.7300   3.3318868E+06   3.0836460E+06   3.1757100E+06
    1.7400   3.3318865E+06   3.0836460E+06   3.1757102E+06
    1.7500   3.3318865E+06   3.0836460E+06   3.1757102E+06
    1.7600   3.3318865E+06   3.0836460E+06   3.1757105E+06
